topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
 ,0.011,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic11,damal,mann,wohl,ging,nie,liess,gern,schliesslich,einst,eher,red,jahrig,stet,stand,auftritt,geword,freund,gemacht,gehort,spricht,geschicht,karri,machtig,vorgang,wirkt,roll,galt,gerad,nam,profil,erfahr,erfolg,begann,blieb,wort,eigent,spitz,inzwisch,person,best,hielt,hand,leut,fuhrt,erfolgreich,zuletzt,art,bracht,zog,sitzt,kennt,kolleg,buhn,sah,bald,hart,lieb,versucht,stolz,einstig,sass,verlor,trat,fand,imag,gelernt,kopf,ausgerechnet,spielt,gesicht,jedenfall,scheint,job,aufstieg,studiert,immerhin,verhaltnis,erinnert,schien,bekam,erlebt,plotzlich,seith,gleich,einzig,freundlich,obwohl,fuhlt,sag,gebor,sucht,setzt,diesmal,journalist,jahrzehnt,vielleicht,vertraut,durchaus,redet,ton
 ,0.015,0.013,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic12,steu,rent,beitrag,erhoh,einkomm,reform,burg,gesetz,privat,entlast,kost,zusatz,leistung,riest,steuerreform,abgab,rentn,belast,rentenversicher,staatlich,arbeitnehm,niedrig,pro,mehrwertsteu,senkung,finanzamt,jahrlich,modell,steig,sozial,betrag,forder,gering,vorschlag,einnahm,steuerzahl,senk,erhoht,voll,bundesregier,vermog,einfuhr,fiskus,satz,regel,berechn,altersvorsorg,besteuer,abschaff,zahlt,steuersatz,konzept,anspruch,dadurch,gezahlt,kindergeld,betrieb,gefordert,gerecht,januar,statt,sollt,anheb,steuerfrei,je,spar,koalition,einkommensteu,geltend,liegt,sozialhilf,profiti,beispiel,blum,syst,gleich,erheb,finanzier,entlastet,rentenreform,zuschuss,belastet,pauschal,entsprech,beamt,einkunft,vorsorg,eingefuhrt,durchschnitt,bleib,reich,gesenkt,stuf,ausgleich,gelt,steuerpolit,finanzminist,ausserd,sink,steuerrecht
 ,0.028,0.015,0.011,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,prozess,gericht,verurteilt,angeklagt,haft,verfahr,staatsanwaltschaft,justiz,anklag,gefangnis,tat,anwalt,mord,ex,verteid,ehemal,straf,vorwurf,urteil,zeug,jahrig,mann,landgericht,verbrech,verantwort,opf,aussag,ermittl,gefang,staatsanwalt,vorgeworf,damal,straftat,schwer,beschuldigt,schuldig,haftbefehl,mutmass,haftling,entlass,haftstraf,verurteil,verdacht,bewahr,beweis,jurist,versucht,lebenslang,justizminist,strafrecht,untersuchungshaft,bundesanwaltschaft,nsu,tod,erhob,verhaftet,gemacht,angeb,folt,wirft,festgenomm,inhaftiert,ausliefer,raf,sech,geldstraf,beteiligt,vorsitz,guantanamo,begang,freilass,unschuld,todesstraf,person,oberst,gestand,untreu,zschap,beantragt,bestraft,freispruch,beihilf,gestellt,eingestellt,verhangt,rechtsstaat,gefordert,kriminell,antrag,sitzt,oberlandesgericht,gestandnis,betrug,zell,verhaft,verfolg,mitglied,festnahm,ermittelt,mandant
 ,0.024,0.02,0.018,0.013,0.013,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic14,spani,spanisch,madrid,brasili,de,schiff,argentini,mexiko,region,boot,eta,brasilian,kust,insel,kolumbi,haf,meer,chil,la,island,lateinamerika,mexikan,el,castro,buenos,rio,venezuela,afp,pinochet,sozialist,bord,argentin,pirat,farc,barcelona,portugal,illegal,air,mittelme,baskisch,staatschef,rajoy,pp,jos,national,marin,kirchn,kuban,aznar,katastroph,chávez,kampf,zuvor,diktator,see,inseln,hauptstadt,sud,katalan,portugies,kolumbian,lula,organisation,nachd,zapatero,chavez,hilf,stadt,zuletzt,cuba,prasidentin,arm,ging,schwer,unabhang,tausend,fidel,liess,laut,offiziell,ecuador,indian,trotz,konservativ,inzwisch,nord,kataloni,peru,nah,fordert,gehort,havanna,gebracht,bislang,san,ausserd,sech,guerilla,flut,erdbeb
 ,0.02,0.016,0.012,0.01,0.01,0.009,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic15,spiel,tv,fussball,film,fernseh,send,sport,musik,verein,wm,fan,adidas,spielt,erfolg,sieb,medi,bay,team,foto,munchn,platz,zuschau,best,veranstalt,olymp,erfolgreich,seh,club,formel,star,em,ard,seri,rtl,fc,werbung,programm,sendung,puma,sat,schauspiel,sieg,bild,zdf,roll,premi,rang,theat,mannschaft,kunstl,publikum,tor,kanal,gewonn,ball,weltmeisterschaft,show,media,hollywood,renn,bundesliga,klub,the,sponsor,lauf,buhn,dortmund,agentur,liv,kampagn,kino,ging,konzert,tour,band,fernsehs,neb,train,auftritt,stadion,saison,sang,olympia,zeigt,nam,fifa,gehort,gerad,titel,gespielt,liga,geword,privat,radio,sportlich,ubertrag,minut,werb,statt,low
