topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
 ,0.037,0.025,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic32,spd,grun,cdu,fdp,csu,union,koalition,partei,merkel,rot,vorsitz,link,fraktion,bundestag,stoib,pds,seehof,sozialdemokrat,parteitag,fraktionschef,bundestagswahl,schaubl,westerwell,ministerprasident,lafontain,wahlkampf,generalsekretar,kanzlerin,muntefering,liberal,opposition,bundnis,kanzl,afd,abgeordnet,debatt,parteichef,landtagswahl,wahl,linkspartei,stellvertret,bundestagsfraktion,steinbruck,fraktionsvorsitz,spitz,gelb,streit,bundestagsabgeordnet,mitglied,mehrheit,parteivorsitz,koalitionspartn,scharping,kanzlerkandidat,delegiert,parlamentar,koalitionsvertrag,bayer,spitzenkandidat,inhalt,merz,woll,steinmei,thema,position,bundeskanzl,landesvorsitz,clement,glos,mollemann,chefin,sigmar,basis,fuhrung,trittin,kur,stimm,gewahlt,wochen,landesverband,gemeinsam,struck,ruttg,koalitionsverhandl,kaud,viz,sitzung,rosl,gysi,prasidium,sozial,legislaturperiod,minist,reih,bruderl,sod,wirtschaftsminist,saarland,diskussion,off
 ,0.078,0.053,0.05,0.032,0.029,0.026,0.022,0.022,0.016,0.016,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic33,kirch,itali,italien,rom,kathol,papst,osterreich,berlusconi,mailand,ii,vatikan,evangel,bischof,fpo,kardinal,christ,christlich,ovp,haid,silvio,romisch,heilig,glaub,spo,di,priest,gott,erzbischof,glaubig,prodi,kirchlich,nord,freiheit,lir,bischofskonferenz,vorsitz,berlusconis,italia,pfarr,schussel,gemeinsam,renzi,orthodox,xvi,mafia,mitt,theolog,gemeind,lega,geistlich,turin,erklar,la,premi,person,geword,besuch,schwer,gegenub,fuhr,vertret,ekd,bistum,religion,staatlich,gehort,sprach,kreuz,offenbar,klost,nah,kna,missbrauch,off,bleib,grupp,hoch,wort,gottesdien,monti,gebet,zugleich,rat,seh,feiertag,gehor,berat,koln,stellt,zeich,amt,olivetti,ging,spa,patriarch,della,salzburg,van,abtreib,setzt
 ,0.037,0.037,0.026,0.019,0.017,0.015,0.014,0.01,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic34,dm,ag,grupp,gmbh,umsatz,frankfurt,gesellschaft,moll,je,tocht,holding,teilt,bereich,dusseldorf,divid,ergebnis,beteil,vorstandsvorsitz,co,vorstand,hauptversamml,stuttgart,geschaftsjahr,erhoht,mr,anteil,koln,akti,aktionar,vorjahr,mill,erzielt,beschaftigt,mitarbeit,geschaftsfuhr,jahresuberschuss,inland,ausland,gehor,hamburg,kapital,kg,konz,vwd,aktivitat,mannheim,kapitalerhoh,ubernomm,laut,insgesamt,mrd,bayer,beteiligt,ausserordent,fuhrend,betrag,knapp,tatig,erreicht,aufgrund,heu,stamm,tochtergesellschaft,vgl,bzw,grundkapital,erwartet,ertrag,stammakti,gewohn,stw,unverandert,chemi,mg,xs,vertrieb,servic,erworb,einschliess,beziffert,wesent,grundig,vorzugsakti,gegrundet,vorstandsmitglied,steu,hannov,verkauft,erwerb,verlust,juni,mitteilt,verbessert,voll,wack,plus,babcock,akquisition,investition,jas
 ,0.136,0.052,0.017,0.017,0.014,0.012,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic35,gesprach,treff,verhandl,gemeinsam,merkel,losung,seit,streit,vertret,konferenz,gipfel,hiess,vereinbar,betont,zusammenarbeit,teilnehm,donnerstag,off,kompromiss,kanzlerin,berat,vereinbart,konkret,forder,thema,beginn,bundeskanzlerin,darub,woll,verhandeln,erklar,konflikt,steinmei,abkomm,regierungschef,scheit,vorschlag,erwart,position,zunach,interess,beding,red,kreis,verhandelt,ziel,wollt,fortschritt,aussenminist,tisch,offenbar,partn,kolleg,lehnt,sollt,wochen,beteiligt,abschluss,bemuh,schritt,schwierig,gescheitert,unterstutz,minist,dialog,bekraftigt,zugestandnis,sprach,geeinigt,zeigt,kommend,vertrag,ergebnis,aussert,zukunft,eng,gesproch,getroff,zusag,find,detail,signal,abend,bereitschaft,sitzung,beweg,kooperation,verstandigt,angebot,erwartet,einlad,wunsch,delegation,chanc,hoff,wort,darum,stattfind,bezieh,beteil
 ,0.037,0.028,0.023,0.019,0.017,0.012,0.011,0.01,0.01,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic36,turkei,turkisch,islam,muslim,kampf,ankara,verbot,organisation,is,kurd,pkk,istanbul,kurdisch,menschenrecht,religios,ausland,grupp,islamist,turk,irak,mitglied,mind,unterstutz,journalist,fuhr,zyp,religion,beweg,verein,vertret,gbrev,grenz,anhang,radikal,syri,mosche,amnesty,akp,sprach,tayyip,botschaft,nah,medi,erdo,ocalan,besuch,ziel,sunnit,nordirak,premi,zeigt,fordert,anti,angeb,berichtet,kopftuch,beobacht,insel,bislang,offiziell,abdullah,unabhang,terror,konflikt,menschenrechtsorganisation,arbeiterpartei,seit,leb,unterstutzt,staatlich,seh,verfolg,recep,bild,armeni,prot,sollt,gehort,trag,laut,militar,human,christ,bezieh,griechisch,christlich,terrormiliz,verfolgt,freiheit,glaub,republ,kurdistan,verband,fundamentalist,gefahr,droht,right,lebend,press,zuletzt
 ,0.034,0.027,0.019,0.014,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001
topic37,energi,strom,rwe,eon,anlag,kraftwerk,gas,grun,versorg,erneuerbar,klimaschutz,bau,umwelt,industri,atomkraftwerk,betreib,netz,umweltschutz,energieversorg,reaktor,ausstieg,bundesregier,ziel,kernkraftwerk,projekt,enbw,kost,transport,betrieb,plan,ausbau,umweltminist,energiew,wass,emission,kohlendioxid,ausstoss,stadtwerk,trittin,wettbewerb,okolog,vattenfall,klimawandel,greenpeac,verbrauch,energiekonzern,konzern,wind,forder,rag,gorleb,klima,ess,energiekonz,kohl,energiepolit,stromversorg,entsorg,ruhrgas,abfall,treibhausgas,atomausstieg,strompreis,tonn,radioaktiv,folg,anteil,atomkraft,alternativ,atommull,zukunft,leitung,edf,kyoto,nutzung,okostrom,kernenergi,endlag,erzeug,umweltpolit,warm,castor,wirtschaftsminist,genehm,kernkraft,atom,laufzeit,mull,bislang,kilowattstund,fukushima,erdgas,schnell,stromerzeug,technisch,oko,investition,stromnetz,umweltministerium,stromkonzern
 ,0.018,0.013,0.011,0.009,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic38,punkt,akti,dax,dollar,bors,index,handl,uhr,stieg,papi,fiel,notiert,verlor,anleg,analyst,titel,schwach,sz,legt,leicht,aktienmarkt,dow,jon,stand,schloss,plus,donnerstag,kurs,kur,wert,minus,fest,vortag,nachmittag,rentenmarkt,london,nachd,mdax,handel,york,sank,new,positiv,zog,gewann,klettert,umlaufrendit,yen,zeitweis,tendiert,wall,kostet,erwartet,street,verlust,nasdaq,frankfurt,devis,zeigt,freundlich,tief,gehandelt,kursgewinn,hoch,uberrasch,stimmung,profitiert,knapp,mark,belastet,erholt,borsian,oben,aktienindex,leitindex,gemeinschaftswahr,kursverlust,nikkei,erneut,druck,feinunz,bank,verli,ebenfall,rendit,futur,konjunkturdat,paris,wahrung,spat,behauptet,busst,verbessert,erwart,ging,spekulation,stoxx,aktienkurs,rutscht,weltbors
 ,0.037,0.023,0.021,0.02,0.017,0.016,0.012,0.012,0.012,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic39,januar,marz,mai,juni,septemb,juli,oktob,april,dezemb,novemb,februar,donnerstag,teilt,frankfurt,mitt,mess,kommend,hiess,zuvor,angekundigt,sech,zufolg,erstmal,erneut,beginn,hannov,erwartet,bestatigt,zunach,insgesamt,voraussicht,mitteilt,termin,ursprung,nachd,berichtet,kundigt,gegeb,herb,sprecherin,veranstalt,ausstell,verschob,offiziell,statt,laut,veroffentlicht,danach,stand,vorlauf,endgult,fest,sieb,fruhjahr,verlangert,pressekonferenz,ebenfall,verschieb,spatest,zeitpunkt,entsprech,mitteil,beschloss,demnach,neun,stattfind,gemeldet,bislang,vorgeseh,beginnt,genannt,vorerst,rechn,zwolf,besuch,bisher,legt,endet,ap,jeweil,beendet,frist,ledig,mindest,begonn,uberrasch,dritt,acht,mitgeteilt,geleg,abgeschloss,begrundet,meldet,elf,dahin,gerechnet,knapp,gestellt,verzoger,vorbereit
 ,0.033,0.032,0.029,0.027,0.026,0.026,0.026,0.025,0.025,0.024,0.022,0.021,0.019,0.014,0.014,0.013,0.012,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic40,siem,vw,autos,konz,bmw,herstell,daiml,fahrzeug,opel,motor,volkswag,werk,porsch,auto,ford,modell,gm,audi,konzern,produktion,autoherstell,verkauft,stuttgart,mark,general,chrysl,autobau,daimlerchrysl,verkauf,manag,wolfsburg,autoindustri,infineon,fabrik,weltweit,tocht,fiat,piëch,zulief,munchn,absatz,diesel,renault,toyota,wag,pkw,roll,bau,produziert,fertig,detroit,autokonz,rov,nutzfahrzeug,lkw,kund,industri,pier,klass,schrempp,abb,konzernchef,baut,entwickl,zetsch,branch,automobil,gebaut,autokonzern,losch,automobilindustri,zukunft,scania,smart,volvo,fahr,nissan,marktanteil,alstom,stuck,russelsheim,ingenieur,konkurrent,kost,mitsubishi,schwer,peugeot,elektroautos,golf,kaes,autozulief,tesla,schwedisch,plan,ingolstadt,royc,batteri,technologi,pischetsried,einheit
 ,0.031,0.029,0.019,0.017,0.015,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic41,schul,fluchtling,ausland,universitat,student,lehr,studi,jugend,hochschul,bildung,professor,stiftung,ausbild,wissenschaft,beruf,sozial,bewerb,integration,asylbewerb,wissenschaftl,studium,migrant,abschieb,asyl,kind,lern,oft,ford,einwand,unterricht,institut,forsch,sprach,sollt,fach,bleib,uni,pass,fordert,elt,akadem,grenz,zuwander,helf,klass,einricht,schlecht,durf,freiwill,abschluss,zuwand,platz,chanc,schavan,laut,find,innenminist,pro,heimat,illegal,gefordert,problem,not,ausserd,doppelt,migration,gesellschaft,fachkraft,abitur,bafog,hilf,forder,forschung,sech,leistung,brauch,staatsburgerschaft,padagog,programm,bundesweit,abgeschob,bund,mangel,mathemat,bekomm,unterstutz,fehl,qualifiziert,schaff,statt,such,demnach,ausgebildet,kultusminist,einwander,bundesland,zeigt,anerkannt,schnell,verlass
 ,0.027,0.022,0.015,0.015,0.012,0.011,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic42,mitarbeit,beschaftigt,arbeitsplatz,standort,werk,betroff,firm,firma,verlust,insolvenz,abbau,entlass,insgesamt,betrieb,kost,management,plan,pleit,kris,job,sanier,belegschaft,geschloss,schliessung,betriebsrat,angekundigt,schwierig,konz,zukunft,auftrag,hart,kundig,schliess,bleib,zuletzt,stellenabbau,personal,gestrich,insolvenzverwalt,angeschlag,finanziell,produktion,bereich,streich,verlor,verwalt,halft,glaubig,zentral,geschaftsfuhr,gerat,konzern,massiv,kundigt,inzwisch,investor,knapp,abgebaut,problem,umbau,druck,folg,wegfall,bochum,ubernomm,massnahm,drastisch,zufolg,spart,gestellt,insolvent,konkur,tausend,schliesst,rett,schlecht,betont,hiess,stellt,konzept,kommend,reduziert,gefahrdet,mitt,situation,gemacht,einschnitt,nachd,eingestellt,droht,einspar,ging,streicht,fertig,gesprach,baut,zunach,rettung,gesichert,bedroht
 ,0.054,0.023,0.019,0.012,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic43,china,japan,britisch,london,chines,peking,grossbritanni,chinas,tokio,pfund,brit,blair,ausland,hongkong,asi,yen,taiwan,australi,premi,labour,asiat,england,singapur,premierminist,cameron,brexit,volksrepubl,austral,insel,tibet,umgerechnet,besuch,shanghai,offiziell,konigreich,fuhrung,may,bezieh,berichtet,staatlich,handel,provinz,vereinigt,of,yuan,pazif,malaysia,schanghai,li,neuseeland,englisch,region,xi,ldp,wang,abe,platz,unabhang,national,tim,gordon,kommunist,lama,fuhr,gegenub,bbc,westlich,jiang,zufolg,billion,konservativ,chen,austritt,dalai,tori,wen,schottisch,schottland,nachrichtenagentur,philippin,unterhaus,bislang,sudostasi,marz,thatch,reis,erstmal,hu,nippon,dissident,eng,weltweit,wachsend,beobacht,daily,lord,premierministerin,koizumi,kp,the
 ,0.056,0.051,0.047,0.039,0.034,0.022,0.021,0.011,0.011,0.011,0.011,0.01,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic44,akti,bors,anleg,fond,investor,papi,wert,rendit,borsengang,frankfurt,anleih,kur,kapital,investment,verkauf,firm,investi,investiert,anteil,anlag,kauf,handel,produkt,expert,analyst,aktionar,langfrist,kurs,kapitalmarkt,zertifikat,gehandelt,wertpapi,risiko,institutionell,immobili,liegt,vermog,laufzeit,privat,genannt,privatanleg,hedg,verkauft,je,verlust,management,volum,angebot,sollt,gering,schlecht,gesellschaft,depot,fondsgesellschaft,aktuell,branch,fondsmanag,aktienmarkt,hoch,zins,emission,beispielsweis,off,kurzfrist,meint,investmentfond,niedrig,lieg,immobilienfond,vermogensverwalt,vergleich,best,attraktiv,anbiet,risik,bislang,aktienfond,divid,option,entsprech,biet,geschloss,geldanlag,acht,standard,dah,borsennotiert,besitz,preis,capital,rat,breit,jeweil,ertrag,bewertet,manag,notiert,verwaltet,profiti,hedgefond
 ,0.032,0.028,0.027,0.022,0.015,0.011,0.01,0.009,0.009,0.008,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic45,partei,wahl,parlament,stimm,mehrheit,abgeordnet,kandidat,opposition,konservativ,gewahlt,amt,link,demokrat,premi,ministerprasident,abstimm,sozialist,regierungschef,sieg,sozialdemokrat,sitz,liberal,wahlkampf,umfrag,verfass,parlamentswahl,koalition,rucktritt,ergebnis,burg,neuwahl,vorsitz,kabinett,anhang,mandat,gegn,referendum,kommunist,amtszeit,minist,knapp,niederlag,absolut,demokrati,burgermeist,bisher,kandidatur,volkspartei,wahlsieg,unterstutz,nachfolg,stimmt,regierungspartei,mitt,verlor,reform,gewonn,ex,unabhang,bewerb,vertret,national,fraktion,chanc,mitglied,bundnis,premierminist,antret,oppositionspartei,christdemokrat,regiert,oppositionell,wahlgang,kommunalwahl,erhielt,fuhr,staatsprasident,prasidentenwahl,beobacht,uberrasch,parteichef,wahlkreis,stichwahl,wahlt,oppositionsfuhr,parlamentari,regi,platz,amtier,wiederwahl,beweg,gefuhrt,vorgezog,prasidentschaftswahl,sturz,dritt,votum,erreicht,gescheitert,ehemal
 ,0.051,0.041,0.023,0.021,0.019,0.014,0.014,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic46,kosovo,nato,uno,bosni,serbisch,serb,belgrad,bosnisch,alban,serbi,haag,jugoslawi,milosevic,muslim,krieg,un,kroati,balkan,kroatisch,mazedoni,aussenminist,jugoslaw,afp,unabhang,tribunal,kriegsverbrech,ap,gebiet,sarajewo,stadt,generalsekretar,albani,konflikt,vertret,fluchtling,trupp,fuhr,kroat,provinz,fried,slobodan,uck,karadzic,ruckkehr,vereint,beginn,zagreb,ehemal,nation,montenegro,fuhrung,grenz,diplomat,fordert,unterdess,soldat,republ,friedenstrupp,allianz,herzegowina,vermittl,region,general,schwer,zusammenarbeit,einheit,pristina,westlich,hauptstadt,donnerstag,militar,ministerprasident,gemeinschaft,beobacht,druck,angriff,beauftragt,luftangriff,sarajevo,osz,organisation,unterstutz,abkomm,mission,ethnisch,seit,bevolker,kampf,mazedon,kfor,zuvor,west,sicherheitsrat,mladic,anerkenn,genf,sprach,dayton,plan,status
 ,0.021,0.019,0.017,0.015,0.015,0.014,0.012,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
