topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.022,0.019,0.018,0.013,0.012,0.012,0.011,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic86,punkt,index,bors,schloss,dow,jon,stieg,sz,akti,schwach,leicht,fest,fiel,aktienmarkt,kurs,nasdaq,dax,new,york,tendiert,verlor,rentenmarkt,handl,london,sank,legt,freundlich,frankfurt,notiert,dollar,handel,wall,nikkei,anleg,umlaufrendit,paris,zeigt,street,uhr,plus,weltbors,tokio,geschloss,zog,hang,rendit,papi,stand,stoxx,hongkong,behauptet,gewann,titel,minus,cac,staatsanleih,aktienindex,anleih,vortag,tendenz,verbessert,donnerstag,ftse,wert,klettert,gehandelt,aktienkurs,kursgewinn,breit,verlust,zehnjahr,kursverlust,seng,stamm,composit,uneinheit,niedrig,aktienbors,gefasst,bundesbank,tim,busst,ebenfall,uberwog,durchschnitt,nachd,erreicht,bzw,herrscht,ergab,hoch,pfennig,blieb,notier,knapp,erholt,ging,saldo,bloomberg,unverandert
 ,0.072,0.038,0.024,0.017,0.015,0.014,0.014,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic87,hotel,reis,tourist,tui,gast,lloyd,tourismus,cook,veranstalt,reiseveranstalt,angebot,club,hapag,preussag,stern,haus,reiseburos,gehor,reisend,branch,ubernacht,beliebt,ziel,besuch,restaurant,mallorca,hannov,buch,gebucht,buchung,feri,gehort,reiseburo,grupp,lieg,bleib,preis,sech,travel,ausland,tour,neb,hamburg,urlaub,acht,inzwisch,hoteli,weltweit,strand,sieb,bietet,biet,last,liegt,laut,statt,reederei,zahlt,platz,flug,kund,vorig,pauschalreis,bleibt,ort,trotz,hilton,luxushotel,luxus,europas,anbiet,ausserd,drv,geschaftsfuhr,urlaubsreis,airbnb,minut,best,reist,first,kurz,knapp,person,reisekonz,betreib,ebenfall,accor,fest,dah,setzt,unterweg,eroffnet,geschaftsreis,voll,nachfrag,fuhrt,eher,reiseziel,hotelkett,schwierig
 ,0.036,0.034,0.023,0.021,0.014,0.012,0.011,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic88,spd,grun,fdp,koalition,rot,cdu,sozialdemokrat,union,partei,westerwell,liberal,muntefering,bundnis,fraktion,fraktionschef,bundestagswahl,gelb,opposition,steinbruck,wahlkampf,koalitionspartn,mollemann,trittin,mehrheit,generalsekretar,koalitionsvertrag,kanzlerkandidat,wahl,kanzl,landtagswahl,rosl,fraktionsvorsitz,link,koalitionsverhandl,vorsitz,bruderl,bundestagsfraktion,steinmei,bundestag,parteichef,nahl,sigmar,struck,linkspartei,joschka,kunast,stellvertret,regi,legislaturperiod,ergebnis,debatt,inhalt,fraktionschefin,thema,goring,jamaika,bund,spitz,ypsilanti,spitzenkandidat,statt,butikof,regiert,gewahlt,fortsetz,schlauch,them,bundeskanzl,vizekanzl,landesvorsitz,parteivorsitz,parteitag,parlamentar,stimm,bildung,wirtschaftsminist,genoss,minderheitsregier,prasidium,ampel,bundestagswahlkampf,beschluss,lafontain,wahlprogramm,option,bundestagsabgeordnet,niedersachs,pds,bild,regierungsbundnis,spitzenkandidatin,oppermann,sondierungsgesprach,neuwahl,koalitionar,bundeseb,designiert,generalsekretarin,gemeinsam,bundespolit
 ,0.149,0.132,0.071,0.047,0.041,0.025,0.017,0.017,0.016,0.012,0.012,0.012,0.01,0.009,0.009,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic89,kampf,syri,afghanistan,taliban,soldat,angriff,getotet,arme,afghan,rebell,stadt,syrisch,trupp,assad,kabul,is,zivilist,militar,grenz,aufstand,miliz,nord,hauptstadt,sud,offensiv,krieg,provinz,gefecht,verletzt,mindest,gebiet,waff,kilomet,damaskus,tot,pakistan,luftangriff,nah,karsai,region,schwer,ziel,regim,berichtet,baschar,sicherheitskraft,stellung,angegriff,burgerkrieg,waffenruh,dorf,einheit,raket,islam,bewaffnet,westlich,beschoss,einsatz,luftwaff,streitkraft,ums,west,heftig,verbundet,regierungstrupp,waffenstillstand,islamist,bombardiert,zerstort,ort,stutzpunkt,bomb,beschuss,angreif,extremist,kontrolliert,leb,panz,teilt,beginn,kontroll,hamid,ausland,terrormiliz,hundert,sudlich,nordlich,attack,samstag,front,grenzgebiet,grupp,terrorist,ost,operation,kommandeur,hochburg,unterstutz,starb,abzug
 ,0.032,0.022,0.022,0.02,0.019,0.018,0.016,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic90,dollar,preis,gold,olpreis,je,tonn,nachfrag,rohstoff,ol,opec,weltweit,barrel,london,lit,fass,steigend,pro,hoch,gestieg,kostet,niedrig,knapp,steig,stand,edelmetall,erreicht,produktion,sort,rohol,metall,kupf,expert,goldpreis,anstieg,brent,steigt,zuletzt,stieg,cent,gefall,angebot,silb,wti,organisation,min,teur,vorrat,produzent,verbrauch,mark,kraftig,aluminium,notier,verteuert,erdol,china,analyst,benzin,sinkend,druck,rohstoffpreis,handl,rohstoffmarkt,zeitweis,treib,oben,meng,niveau,erwartet,wachsend,preisanstieg,feinunz,sorg,anhalt,zunehm,iea,weltmarkt,taglich,preisverfall,fiel,olmarkt,tief,unz,bedarf,forder,getrieb,benzinpreis,angesicht,kartell,ruckgang,spekulant,erhoh,spekulation,heizol,notiert,schwach,billig,leicht,liefer,zink
 ,0.06,0.044,0.025,0.021,0.019,0.019,0.015,0.015,0.014,0.013,0.012,0.011,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic91,ja,leut,leb,einfach,sag,vielleicht,warum,gar,natur,oft,gerad,paar,nie,tun,eigent,jemand,gern,lieb,wirklich,manchmal,wiss,richtig,ding,eben,haus,job,red,bekomm,erzahlt,gesagt,trotzd,beispiel,braucht,gemacht,freund,genau,glaub,irgendwann,kolleg,nein,find,gefuhl,mocht,bissch,denk,schnell,schlecht,sach,seh,gluck,niemand,uberhaupt,fragt,ziemlich,passiert,all,angst,mach,kenn,ging,klingt,ide,versteh,wollt,brauch,egal,darum,wusst,geword,tut,dacht,darub,gleich,verdient,normal,hort,buro,bekommt,best,genug,plotzlich,sitzt,kennt,darf,morg,eher,verdi,glucklich,schlimm,funktioniert,erzahl,gefragt,fuhl,gedank,findet,standig,raus,reich,moment,toll
 ,0.024,0.02,0.016,0.013,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic92,umsatz,grupp,gmbh,mitarbeit,beschaftigt,weltweit,geschaftsfuhr,ag,gesellschaft,bereich,tocht,co,fuhrend,gegrundet,wachstum,familienunternehm,marktanteil,gehor,marktfuhr,ubernomm,ubernahm,wachs,kg,mark,vertrieb,erzielt,expansion,servic,ausbau,tatig,aktivitat,holding,werk,steig,erwirtschaftet,anteil,geschaftsfeld,anbiet,produkt,ventur,standort,akquisition,spart,zukauf,firma,osteuropa,herstell,joint,dienstleist,grundig,numm,ausland,produktion,setzt,ubernimmt,erlos,konz,neb,zweistell,asi,baut,position,vorstandsvorsitz,knapp,ausgebaut,geschaftsjahr,tochtergesellschaft,konzern,gehort,jahresumsatz,jahrlich,zahlt,verstarkt,logist,spezialisiert,geschaftsbereich,weltmarktfuhr,operativ,investiert,niederlass,investition,system,sitz,management,verdoppeln,betrieb,konzentriert,weltmarkt,erworb,dach,drittel,mittelfrist,verkauft,zuletzt,group,halft,marketing,elektron,segment,wach
 ,0.04,0.032,0.024,0.021,0.015,0.014,0.014,0.013,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic93,akti,bors,aktionar,frankfurt,borsengang,hauptversamml,ag,kapitalerhoh,papi,kur,kapital,je,vorstand,divid,handel,wert,anteil,notiert,gehandelt,kleinaktionar,teilt,investor,anteilseign,grossaktionar,angebot,aktienkur,gesellschaft,aktiengesellschaft,dsw,institutionell,borsennotiert,grundkapital,vorstandschef,emission,firm,stammakti,kapitalmarkt,streubesitz,neuemission,stock,schutzverein,wertpapierbesitz,vorzugsakti,option,sdk,ausgabepreis,management,beteil,notier,schutzgemeinschaft,ausserordent,ausschutt,wcm,preisspann,elektron,besitz,exchang,aufsichtsrat,holding,ausgegeb,anteilsschein,stuck,stimmrecht,gelistet,verhaltnis,vorgeseh,plant,parkett,gang,juni,schritt,privatanleg,ausgab,erstnotiz,rahm,xetra,zeichnungsfrist,erhoh,borsenwert,umwandl,stamm,nasdaq,eurex,volum,altaktionar,ruckkauf,bezugsrecht,ivg,borsenkur,zeichn,platziert,nennwert,platzier,mai,amtlich,zack,handelsplatz,segment,voraussicht,freien
 ,0.094,0.069,0.048,0.029,0.028,0.021,0.021,0.012,0.012,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic94,bank,finanzkris,kris,investmentbank,kredit,sach,goldman,morgan,finanzmarkt,verlust,lehman,risik,pleit,institut,global,investor,stanley,broth,wertpapi,of,merrill,hedgefond,lynch,riskant,kapital,weltweit,grossbank,citigroup,zusammenbruch,regulier,faul,staatlich,jp,geldhaus,steuerzahl,verlor,aig,real,vertrau,finanzsyst,risiko,folg,spekulant,gefahr,finanzbranch,papi,billion,derivat,bilanz,street,wett,wert,bors,finanzinstitut,wall,verhind,finanzsektor,immobilienmarkt,spekulation,kreditkris,massiv,gerat,abschreib,kollaps,finanz,finanzminist,aufsicht,kontroll,hypothek,handel,branch,gerettet,rett,handl,crash,blas,problem,schwer,soros,aufsichtsbehord,finanzwelt,kommentar,rettung,ausbruch,gesamt,notenbank,angeschlag,bear,kerviel,finanzaufsicht,bankenkris,aufseh,america,summ,finanzministerium,manag,well,stearn,schlimm,sogenannt
 ,0.092,0.024,0.018,0.016,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic95,film,musik,kunstl,the,kunst,star,spiel,foto,spielt,schauspiel,bild,theat,band,disney,hollywood,los,lied,roll,best,sang,kino,erfolg,seh,erfolgreich,konzert,of,seri,stuck,beruhmt,fan,regisseur,sing,art,publikum,buhn,song,angel,show,werk,cd,geschicht,figur,pop,rock,kinos,gerad,auftritt,lieb,besuch,leb,szen,video,to,museum,gespielt,hit,zuschau,oper,schauspielerin,titel,prominent,verkauft,sammlung,jahrig,damal,park,festival,las,gold,zeigt,tanz,pott,cds,kultur,platt,ston,klassik,musical,fernseh,personali,gemacht,gedreht,you,kunstler,platz,produzent,unterhalt,haus,sangerin,ring,geword,paar,feuilleton,profil,verleih,gebor,mittlerweil,klassisch,hor,held
 ,0.022,0.014,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic96,stuttgart,daiml,bmw,daimlerchrysl,konz,roll,chrysl,konzern,lkw,rov,schrempp,munchn,zetsch,nutzfahrzeug,herstell,scania,klass,tocht,verkauft,smart,ag,mark,weltweit,leasing,volvo,royc,ulm,brems,thiel,werk,verkauf,entwickl,fahrzeug,motor,schwabisch,lastwag,mini,vorstandsvorsitz,schwab,manag,autobau,friedrichshaf,teilt,konzernchef,buss,schwer,erfolgreich,absatz,schwedisch,knorr,samuelsson,quandt,autoherstell,spart,autokonz,insgesamt,vorstand,gleich,zf,kommend,reitzl,zukunft,group,sgl,pkw,zusamm,knapp,reithof,mitarbeit,leicht,produktion,car,vorstandschef,erwartet,carbon,vossloh,konkurrent,verlust,sech,reih,milberg,zuvor,wohl,mtu,gesamt,best,mitsubishi,setzt,debis,modell,getrieb,strategi,pischetsried,baut,ebenfall,inzwisch,xs,lieg,erfolg,bleib
 ,0.058,0.056,0.051,0.021,0.021,0.013,0.013,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic97,gmbh,suddeutsch,vorbehalt,verlag,onlin,moll,feu,mr,alp,kap,europaich,gelehr,client,klink,gestresst,grossist,scharfsinn,bonn,mitteilt,teilt,treuhand,maigel,ag,co,michal,grotesk,gesellschaft,progress,vorsitz,ausbessert,oktob,rodet,goss,coup,beteil,echo,frankfurt,bus,gesundschrumpf,ff,ar,panth,eber,gen,allgemein,balsam,depp,bestsell,via,gehor,hol,ms,rasa,person,wellington,lau,ausgewr,spe,alemann,fern,sv,eh,weis,schaukel,ausgebessert,kongruent,fontainebleau,sah,pi,gegenwart,rar,rahm,vgl,vorgeseh,begrub,et,mah,grupp,photo,gradmess,las,eo,zusammenhang,beteiligt,lebernahm,mm,bereich,besteh,nr,point,treuhandanstalt,stuss,hai,vag,entsprech,gorgonzola,zerriss,darmeb,bde,bvg
 ,0.067,0.061,0.058,0.055,0.043,0.037,0.022,0.022,0.01,0.009,0.008,0.008,0.008,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic98,demokrati,burg,freiheit,gesellschaft,krieg,gefahr,angst,demokrat,west,nation,inn,geschicht,fried,wert,histor,amerika,gefuhl,all,leb,europas,aussenpolit,auss,volk,gewalt,gerad,grenz,moral,jahrhundert,verhaltnis,nie,feind,geword,kalt,braucht,bedroh,interess,glaub,gewiss,jahrzehnt,nachbarn,schwach,wirklich,lasst,syst,national,revolution,ordnung,misstrau,vielleicht,tief,zukunft,ideolog,rechtsstaat,verteid,populist,mag,antwort,elit,kontinent,symbol,tun,kultur,institution,verstand,furcht,denk,geist,darf,gemeinschaft,fremd,hoffnung,uberall,mass,wunsch,ja,ost,jenseit,einst,ide,niemand,verfass,oft,wohlstand,stabilitat,mog,kraft,je,ideologi,identitat,fuhl,vertrau,wahrheit,anti,eben,freund,regiert,rhetor,reich,generation,einfluss
 ,0.015,0.01,0.01,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic99,fluchtling,grenz,illegal,innenminist,asylbewerb,abschieb,asyl,behord,heimat,ruckkehr,aufnahm,migrant,einreis,schutz,flucht,visa,abgeschob,hilf,helf,migration,unhcr,humanitar,abgelehnt,scheng,durf,einwand,leb,bundesinnenminist,verlass,antrag,innenministerium,bleib,aufnehm,zustand,asylantrag,syr,fluchtlingskris,ausreis,fluchtlingspolit,asylrecht,tausend,gefluchtet,ruckfuhr,bamf,person,bundesinnenministerium,aufzunehm,kontroll,aufgenomm,visum,asylsuch,schnell,grenzkontroll,freiwill,ausweis,asylverfahr,bundesamt,verfolg,zuruckkehr,syri,gefloh,mittelme,verteil,gekomm,unterkunft,pass,papi,amt,anerkannt,schily,einwander,herkunftsland,gebracht,verfolgt,schleus,laut,fluchtlingshilfswerk,sollt,legal,hilfsorganisation,bundesregier,registriert,situation,malta,aussengrenz,verfahr,beamt,heimatland,sogenannt,unterbring,pro,geduldet,reis,gefahr,fluchtlingslag,beantragt,fordert,asylpolit,untergebracht,genf
 ,0.08,0.026,0.015,0.013,0.013,0.012,0.011,0.011,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic100,irak,krieg,bagdad,bush,saddam,washington,hussein,georg,trupp,militar,soldat,sunnit,angriff,powell,nah,waff,schiit,kuwait,rumsfeld,un,ric,terror,schiitisch,massenvernichtungswaff,kampf,diktator,unterstutz,amerika,pentagon,golfkrieg,gewalt,verbundet,kurd,arab,verteidigungsminist,nation,maliki,aussenminist,ap,el,sadr,konflikt,regim,abzug,region,afp,beginn,vereinigt,fuhr,nordirak,sturz,invasion,terrorismus,wiederaufbau,bevolker,vereint,militarschlag,fuhrung,bedroh,alliiert,chemisch,gefuhrt,inspektor,britisch,donald,butl,jordani,ziel,anti,golf,hilf,sollt,condoleezza,ost,gefahr,kontroll,beweis,widerstand,terrorist,septemb,ruckzug,einsatz,haus,biolog,kurdisch,besatz,strategi,kirkuk,streitkraft,diplomat,basra,arme,iran,amerikas,unscom,einmarsch,falludscha,bomb,zerstor,general
 ,0.152,0.048,0.032,0.029,0.022,0.021,0.016,0.013,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
