topic0,bank,allianz,institut,kund,dresdn,frankfurt,sparkass,munch,landesbank,kredit,versicher,commerzbank,geschaft,ruck,privat,hvb,westlb,kreditinstitut,hypovereinsbank,grossbank,versich,tocht,beteil,offent,postbank,bayer,fusion,grosst,bankgesellschaft,rating,verkauf,halt,hypo,breu,gut,risik,risikovorsorg,vereinsbank,beid,sowi,etwa,derzeit,finanzdienstleist,geldhaus,dabei,sprech,filial,drei,stark,geldinstitut,zurich,berat,rund,rechtlich,lebensversicher,anteil,bilanzsumm,schad,privatbank,agentur,ubs,ausland,ausserd,vermogensverwalt,vorstandssprech,allerding,credit,hypothek,bish,hypothekenbank,vermog,chef,moglich,bankhaus,haus,eigenkapital,gross,gerling,heisst,kapital,gesamt,axa,osterreich,dg,basel,mlp,international,investmentbank,ca,direktbank,genossenschaft,gehor,austria,privatkund,laut,beteiligt,leasing,ruckversicher,banking,finanzier
 ,0.057,0.036,0.024,0.018,0.016,0.016,0.015,0.014,0.013,0.011,0.011,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic28,kritik,konn,kritisiert,erklart,sprech,hatt,fordert,bericht,wies,betont,zuruck,geb,bezeichnet,warnt,woll,scharf,aussert,sprach,nannt,heftig,ausser,erneut,jedoch,darauf,reagiert,zeitung,wort,brief,warf,streit,frag,ansicht,entscheid,dageg,forder,gegenub,halt,vorwurf,verteidigt,vorgeh,erklar,red,raumt,zugleich,fehl,verwi,lehnt,davor,reaktion,falsch,verhalt,verlangt,fugt,kritisch,moglich,unterdess,vollig,haltung,wonach,musst,gegeb,geaussert,hinzu,bekraftigt,deutlich,meint,mittwoch,massiv,offent,klar,allerding,dienstag,meinung,donnerstag,gewarnt,diskussion,sollt,zusammenhang,hiess,off,ledig,zud,schritt,aufgefordert,wiederholt,geplant,ausdruck,ubt,ab,zuvor,ausgelost,druck,notwend,aussag,bundesregier,gemacht,zuruckgewies,gefordert,zuruckhalt,sprecherin
 ,0.028,0.022,0.019,0.018,0.018,0.017,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
topic29,chef,vorstand,aufsichtsrat,nachfolg,manag,vorsitz,mitglied,amt,verantwort,spitz,zustand,fruh,geschaftsfuhr,sz,bisher,beruf,vorstandsvorsitz,aufgab,vorstandsmitglied,post,stellvertret,leit,hauptversamml,kunftig,ubernehm,jahrig,vorstandschef,ehemal,end,tatig,bish,zuletzt,vorgang,tritt,fuhrung,wechsel,rucktritt,person,management,ab,aktionar,berat,ubernimmt,uberrasch,vertret,wechselt,entscheid,gilt,grund,personali,gremium,mai,konzern,ernannt,januar,leitet,aufsichtsratsvorsitz,position,ausscheid,verlass,ruhestand,finanz,steht,funktion,bestellt,zuvor,wirkung,langjahr,april,leitung,anfang,fuhrungskraft,wunsch,gewahlt,ressort,bleibt,verwaltungsrat,geht,mg,lost,juli,beim,bekannt,ubernomm,gehort,aufsichtsratschef,verlasst,erfahr,gehalt,sitzung,heisst,oktob,bereich,vizeprasident,finanzvorstand,vertrag,besetz,zuruckgetret,top,ex
 ,0.039,0.03,0.02,0.017,0.015,0.012,0.012,0.012,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic30,bau,anlag,umwelt,transport,schiff,projekt,etwa,umweltschutz,industri,boot,okolog,trittin,beim,gefahr,tonn,betrieb,reaktor,atomkraftwerk,energi,greenpeac,kost,kernkraftwerk,betreib,kilomet,umweltminist,ausstieg,haf,technisch,autobahn,verkehr,konnt,nutzung,moglich,entsorg,musst,kraftwerk,bish,unfall,angab,alt,uran,behalt,geplant,lang,strass,topf,wass,hatt,expert,klimaschutz,radioaktiv,umweltpolit,castor,atom,zehn,abfall,autofahr,gorleb,fahr,protokoll,kyoto,bundesregier,technik,dabei,genehm,prot,atommull,teil,gebaut,material,kernenergi,ausserd,atomenergi,drei,sprech,ausstoss,niedersachs,umweltministerium,kohlendioxid,ap,stoff,emission,plan,ministerium,fordert,kust,gebiet,natur,zustand,rund,naturschutz,schutz,konn,mull,geh,zwischenlag,belast,bericht,tuv,jedoch
 ,0.013,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic31,gericht,urteil,klag,prozess,fall,verfahr,entscheid,verurteilt,karlsruh,angeklagt,anwalt,entschied,haft,landgericht,ddr,anklag,verteid,jurist,fruh,recht,antrag,bundesverfassungsgericht,gerichtshof,justiz,bgh,straf,hatt,oberst,ehemal,bundesgerichtshof,drei,verstoss,begrund,erklart,oberlandesgericht,damal,beschwerd,zeug,gefangnis,staatsanwaltschaft,haftstraf,beantragt,kassel,senat,schuldig,az,beruf,verurteil,bestatigt,instanz,beschluss,monat,bewahr,verfassungsgericht,berlin,rechtsanwalt,ex,vorwurf,eingereicht,darf,verhangt,sah,verantwort,aussag,richt,schwer,wies,revision,vorgeworf,erhob,lebenslang,verwaltungsgericht,begrundet,todesstraf,aufgehob,anspruch,staatsanwalt,vorsitz,ansicht,mord,zweit,zustand,tat,beid,einstweil,entlass,gemacht,beim,ap,freispruch,verbot,geltend,verletz,ausliefer,geldstraf,gefordert,konn,schadenersatz,abgelehnt,kamm
 ,0.036,0.023,0.02,0.02,0.016,0.016,0.015,0.014,0.012,0.012,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic32,kind,schul,universitat,jugend,studi,student,elt,lehr,famili,jung,arbeit,ausbild,professor,wenig,bildung,wissenschaft,hochschul,etwa,alt,beruf,zahl,stiftung,institut,bess,sozial,gesellschaft,forschung,mensch,stell,geb,wissenschaftl,gibt,musst,ford,imm,meist,bonn,geld,besond,gefordert,konnt,zehn,bewerb,projekt,programm,wirtschaft,gut,dafur,sollt,fordert,forder,erzieh,unterricht,dabei,einricht,reform,oft,schlecht,lehrstell,bulmahn,erhalt,studium,lern,betreu,stark,staatlich,bund,statt,fach,mangel,berat,sprach,haufig,allein,initiativ,ab,ruttg,forsch,unterstutz,lang,drei,zusatz,sowi,zukunft,komm,fehl,leistung,bafog,einfuhr,geh,hilf,heisst,erwachs,grund,klass,kunftig,vier,pro,kindergart,bekomm
 ,0.029,0.02,0.011,0.011,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic33,franzos,paris,frankreich,itali,italien,regier,spani,de,spanisch,niederland,rom,chirac,madrid,prasident,mailand,berlusconi,jacqu,le,sozialist,europa,national,eta,holland,belgisch,chef,belgi,jospin,la,franc,woch,lir,link,zeitung,premierminist,sowi,afp,staatlich,beid,amsterdam,ministerprasident,tag,premi,aznar,staatsprasident,regierungschef,minist,fruh,prodi,drei,mitt,baskisch,silvio,monat,mitterrand,letzt,region,staat,sarkozy,jos,romisch,gross,juppé,erklart,turin,bish,elf,dabei,italia,end,grosst,front,olivetti,villepin,francs,françois,bericht,nord,di,pen,partn,spa,teil,nachd,pp,fuhr,privatisier,gehort,ab,bnp,europas,dominiqu,wichtig,mond,allianz,gab,macht,van,lag,baskenland,nationalversamml
 ,0.058,0.041,0.04,0.027,0.022,0.016,0.014,0.014,0.013,0.012,0.012,0.012,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic34,rent,steu,privat,euro,beitrag,monat,zahl,einkomm,wer,erhalt,alt,kost,etwa,leistung,ab,gesetz,vertrag,pro,anspruch,versichert,fall,riest,miet,beim,kunftig,wohnung,rentenversicher,betrag,niedrig,gilt,geld,zusatz,allerding,regel,versicher,rentn,arbeitnehm,spar,jahrlich,zahlt,altersvorsorg,beispiel,bish,voll,besteuer,versich,moglich,gering,pflegeversicher,gezahlt,derzeit,finanzamt,bezahl,modell,staatlich,teil,vermog,erhoh,je,deshalb,jedoch,gibt,durchschnitt,burg,krankenversicher,wenig,lebensversicher,steuerfrei,musst,dafur,genannt,berechn,mindest,prami,sollt,belast,dabei,sozialhilf,grund,januar,famili,gleich,gelt,vorteil,finanziell,fiskus,forder,bezahlt,unterschied,steig,entsprech,zahlung,ledig,betrieb,zehn,rentenreform,pauschal,bekomm,erheb,satz
 ,0.011,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic35,berlin,hamburg,ost,bad,bundesland,westfal,sachs,cdu,stadt,bund,nordrhein,ostdeutsch,ministerprasident,brandenburg,west,niedersachs,anhalt,dusseldorf,brem,stuttgart,landtag,thuring,hess,rheinland,spd,dresd,ddr,landesregier,schleswig,holstein,ostdeutschland,ap,kiel,kommun,burgermeist,magdeburg,bay,pfalz,potsdam,sachsisch,vorpomm,gemeind,offent,mainz,bundesweit,wurttemberg,westdeutsch,hessisch,schwerin,saarland,kommunal,alt,erfurt,erhalt,region,stolp,oberburgermeist,biedenkopf,hannov,vulkan,schill,wiesbad,sowi,senat,ehemal,aufbau,nrw,hatt,rhein,kreis,umzug,saarbruck,rostock,hall,teufel,bish,erklart,beid,lubeck,einheit,funf,wend,bvs,nord,vier,landtagswahl,dvu,heid,staatssekretar,staatskanzlei,landkreis,diepg,projekt,pfalzisch,wirtschaftsminist,kundigt,hauptstadt,milbradt,ab,verein
 ,0.09,0.028,0.023,0.018,0.018,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic36,mitarbeit,siem,beschaftigt,arbeitsplatz,stell,rund,standort,konz,bereich,etwa,werk,weltweit,produktion,derzeit,firm,konzern,end,munch,abbau,geplant,auftrag,belegschaft,spart,herstell,sowi,kost,geschaft,insgesamt,zahl,davon,grosst,infineon,teil,drei,investition,fertig,industri,management,markt,branch,ausland,betroff,sieht,europa,schliessung,baut,betrieb,stellenabbau,betriebsrat,fabrik,tocht,funf,verlust,entwickl,plan,chef,angab,erklart,abb,ziel,gut,entlass,angekundigt,produkt,technologi,jahrlich,abgebaut,kapazitat,kunftig,werft,halft,dabei,geh,personal,ab,stark,zud,personalabbau,erhalt,investiert,geschloss,tech,chemi,umstrukturier,gestrich,pier,hart,allein,drittel,sanier,zukunft,alcatel,schliess,vier,asi,verlagert,reduziert,kundig,dienstleist,maschin
 ,0.033,0.021,0.018,0.017,0.015,0.014,0.013,0.012,0.011,0.011,0.011,0.009,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic37,russisch,russland,moskau,prasident,jelzin,putin,ukrain,tschetscheni,staat,russ,ungarn,west,regier,tschetschen,nato,republ,wladimir,westlich,nachrichtenagentur,kreml,kommunist,fruh,unabhang,sowjetunion,sowjet,grosny,erklart,rumani,ministerprasident,kiew,ungar,slowakei,international,region,meldet,georgi,fuhrung,zusammenarbeit,ehemal,interfax,ost,budap,weissrussland,afp,regierungschef,kaukasus,aussenminist,hauptstadt,tschernomyrdin,bezieh,duma,bulgari,beid,parlament,slowak,moskaus,entlass,besuch,zufolg,macht,offiziell,krieg,wichtig,litau,osteuropa,tschetsch,tag,yukos,wirtschaft,woch,gazprom,angab,sowi,teil,konflikt,staatschef,unterzeichnet,agentur,lebed,gus,ruman,lag,primakow,ap,petersburg,lukaschenko,tass,end,stellvertret,staatlich,gorbatschow,vertrag,partnerschaft,eng,mittwoch,kampf,viz,michail,unterstutz,montag
 ,0.051,0.05,0.034,0.031,0.019,0.012,0.011,0.01,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic38,turkei,zeitung,bericht,turkisch,berichtet,information,journalist,geheimdien,ankara,hatt,angeb,zufolg,pkk,bestatigt,behord,stasi,kurd,medi,sprech,fall,kurdisch,kontakt,bekannt,bnd,angab,woch,istanbul,offenbar,magazin,erklart,veroffentlicht,blatt,akt,hiess,turk,liby,zitiert,geheim,laut,mitarbeit,fruh,offiziell,verbot,chef,beruf,ap,hinweis,agent,cia,hamburg,press,informiert,ocalan,afp,gegeb,wonach,dien,mittwoch,quell,botschaft,donnerstag,nachrichtenmagazin,meldung,nam,jedoch,dementiert,montag,mitglied,dokument,focus,nachrichtenagentur,report,gab,person,unterlag,septemb,veroffentlich,dienstag,schrieb,zeitungsbericht,bild,tag,dabei,list,arbeiterpartei,tageszeit,aussag,seit,kurdistan,gefuhrt,genannt,kreis,darstell,ministerium,gemacht,brief,islamist,meldet,vertraulich,material
 ,0.026,0.025,0.022,0.022,0.02,0.015,0.01,0.009,0.009,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic39,recht,suddeutsch,gmbh,verlag,vorbehalt,onlin,feu,bericht,thyss,rund,mr,zeitung,stahl,moll,bonn,krupp,spring,alp,ab,sowi,kap,gelehr,client,drei,bish,hatt,europaich,konnt,end,erklart,klink,beid,oktob,erhalt,grossist,gestresst,vier,mitteilt,treuhand,letzt,angab,scharfsinn,hoch,teilt,allgemein,auflag,teil,funf,entsprech,beim,verleg,maigel,gehor,zeitschrift,ausserd,arcelor,michal,bild,grotesk,zusamm,halt,ess,jedoch,zweit,sogenannt,salzgitt,dabei,nachd,stahlindustri,bleib,ausbessert,gegenub,sech,mittal,progress,exemplar,davon,beteiligt,besteh,de,coup,rodet,spe,zunach,gegeb,steel,stellt,privatisier,echo,moglich,gesamt,bus,elf,burda,goss,gleich,kommentar,sieht,lag,insgesamt
 ,0.044,0.038,0.035,0.035,0.031,0.025,0.013,0.012,0.01,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic40,japan,vw,bmw,fahrzeug,autos,ford,motor,tokio,daiml,nordkorea,daimlerchrysl,auto,modell,volkswag,herstell,werk,markt,opel,konz,chrysl,seoul,autoherstell,verkauft,produktion,gm,stuttgart,mark,porsch,audi,pkw,sudkorea,general,absatz,europa,rund,yen,verkauf,pjongjang,rov,wolfsburg,sudkorean,fiat,roll,schrempp,drei,renault,chef,korean,autoindustri,etwa,tocht,autobau,nordkorean,klass,nutzfahrzeug,marktanteil,einheit,mitsubishi,grosst,bish,beim,piëch,usa,stuck,wag,ab,konzern,funf,pischetsried,weltweit,produziert,smart,end,bau,entwickl,fabrik,autokonz,lkw,royc,volvo,beid,vier,monat,toyota,golf,zulief,kfz,derzeit,mtu,konnt,billion,gebaut,nissan,automobil,nordkoreas,detroit,nippon,teilt,automobilindustri,fertig
 ,0.04,0.024,0.015,0.013,0.013,0.012,0.011,0.011,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic41,kosovo,bosni,serb,serbisch,nato,bosnisch,belgrad,uno,alban,prasident,international,milosevic,jugoslawi,muslim,haag,serbi,jugoslaw,kroatisch,kroati,mazedoni,krieg,tribunal,sarajewo,regier,balkan,kriegsverbrech,aussenminist,un,kroat,erklart,uck,albani,gebiet,stadt,slobodan,karadzic,fruh,sprech,afp,fuhr,hatt,trupp,montenegro,unabhang,soldat,angab,zagreb,friedenstrupp,fluchtling,montag,konflikt,herzegowina,kinkel,luftangriff,vertret,osz,sarajevo,west,fuhrung,general,fried,teil,ap,ruckkehr,ehemal,mazedon,dayton,pristina,republ,kfor,tag,provinz,schwer,angriff,einheit,beginn,diplomat,djindjic,arme,foderation,tudjman,westlich,gemeinschaft,ethnisch,beauftragt,kostunica,jedoch,vermittl,woch,dienstag,lag,abkomm,kontaktgrupp,mladic,milosevics,rest,unterdess,druck,waff,skopj
 ,0.024,0.021,0.018,0.018,0.015,0.015,0.014,0.014,0.012,0.011,0.011,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic42,akti,bors,anleg,fond,markt,investor,papi,borsengang,frankfurt,euro,wert,rendit,etwa,kur,anleih,analyst,geld,kapital,firm,derzeit,ab,angebot,investment,verkauf,handel,monat,gewinn,aktionar,jedoch,rund,allerding,anteil,laufzeit,institutionell,genannt,kapitalmarkt,langfrist,gesellschaft,expert,investiert,wertpapi,emission,gehandelt,halt,investi,kauf,funf,meist,gross,anlag,management,preis,kapitalerhoh,risiko,volum,beim,privatanleg,zehn,notiert,moglich,zins,immobili,anbiet,liegt,international,hedg,gering,rat,zud,fondsgesellschaft,produkt,kurs,drei,beispielsweis,bislang,je,titel,ausland,aktuell,fondsmanag,branch,vergleich,privat,niedrig,kurzfrist,lieg,sollt,aktienmarkt,option,dabei,angab,komm,teil,standard,attraktiv,immobilienfond,bewert,aktienfond,wenig,stock
 ,0.034,0.027,0.019,0.016,0.014,0.011,0.01,0.009,0.009,0.009,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic43,gesprach,beid,verhandl,treff,gemeinsam,losung,seit,streit,frag,moglich,vertret,montag,vereinbar,hiess,dienstag,vertrag,berat,geplant,vereinbart,donnerstag,mittwoch,zusammenarbeit,erklart,kompromiss,abkomm,entscheid,jedoch,forder,geb,vorschlag,betont,sprech,konn,ab,beding,zunach,erklar,darauf,konflikt,verhandeln,lehnt,off,woll,scheit,geeinigt,wollt,konkret,angebot,sollt,abschluss,teilnehm,beginn,gescheitert,verhandelt,zustimm,schritt,plan,aussenminist,dialog,unterzeichnet,kreis,abgelehnt,bekraftigt,darub,zugestandnis,verzicht,bemuh,kommend,erneut,zusag,verstandigt,sitzung,position,fortschritt,konferenz,offenbar,endgult,heutig,abend,kolleg,bereitschaft,kooperation,delegation,erzielt,einigt,tisch,partn,verlautet,annaher,besteh,getroff,unterzeichn,wochen,komm,stattfind,beendet,allerding,termin,umstritt,fortsetz
